jobid,total_energy
12205,2913200.0
11947,16838600.0
12206,2924000.0
12208,3090500.0
12215,3193400.0
11063,17762700000.0
12216,3073300.0
12220,2943000.0
12219,3032600.0
12222,3314800.0
12225,3143300.0
12226,3307400.0
12228,2950200.0
12229,2934000.0
12231,3312800.0
12233,3161300.0
12213,4182350.0
12234,3491000.0
12237,3190600.0
12236,3231800.0
12238,2952000.0
12241,3294000.0
12243,3040100.0
12244,3221200.0
12247,3161400.0
12246,3001900.0
12249,2919200.0
12251,3057400.0
12252,3223200.0
12253,3313200.0
12255,2865200.0
12257,2976300.0
12259,3021000.0
12256,3653400.0
12260,3256800.0
12262,3275800.0
12263,2950600.0
12264,3003900.0
12267,2877200.0
12268,3061600.0
12186,12787200.0
12269,3184000.0
12270,3230600.0
12272,3130400.0
12276,2854600.0
12277,3098300.0
12278,2980300.0
12279,3230000.0
12280,3153400.0
12283,3128800.0
12286,3182400.0
12287,3024100.0
12288,2969000.0
12289,3253200.0
12143,18709700.0
12195,14288000.0
12292,3092400.0
12293,3297200.0
12294,3048000.0
12296,3041100.0
12297,3194800.0
12299,2978800.0
12301,3003300.0
12302,3148800.0
12305,2987200.0
12304,3296000.0
12303,3097000.0
12078,100217000.0
12307,2978600.0
12308,3080100.0
12309,3206800.0
12312,2974600.0
12313,3180400.0
12315,2992000.0
12316,3089000.0
12317,2986000.0
12318,3206800.0
12319,3290000.0
12321,2960300.0
12139,23125000.0
12323,3167400.0
12329,3019200.0
12330,3063500.0
12331,3177400.0
12332,2890000.0
12333,3315400.0
12335,2960400.0
12118,100171000.0
12337,2879400.0
12338,3219200.0
12120,97513600.0
12339,2996600.0
12340,3275400.0
12341,2929600.0
12343,3043000.0
12346,3212600.0
12345,2999000.0
12348,2862000.0
12349,3229200.0
12350,2982800.0
12351,2903200.0
12353,3210600.0
12355,3252000.0
12354,2897400.0
12356,3214200.0
12357,3082500.0
12358,2950000.0
12359,3257000.0
12360,2880600.0
12362,3214000.0
12365,3249200.0
12364,3219600.0
12363,2975200.0
12366,3010600.0
12367,3085900.0
12368,2911400.0
12369,3314800.0
12372,3023200.0
12373,3223200.0
12375,2819200.0
12376,3194800.0
12377,2920000.0
12379,3239000.0
12383,3060000.0
12388,1179400.0
12392,2986000.0
12393,3240000.0
12395,3210000.0
12396,2912800.0
12397,2834000.0
12399,3112500.0
12400,3174000.0
11488,54384200.0
12403,2968000.0
12404,3235400.0
12405,2826600.0
12407,2933000.0
12408,3074200.0
12412,3178000.0
12325,10906500.0
12324,11000300.0
12421,364100.0
12416,2949200.0
12417,2991200.0
12418,2827400.0
12420,3174000.0
12425,140090.0
12423,2837400.0
12426,3000800.0
12327,13394300.0
12429,2869400.0
12430,3256200.0
12432,3142400.0
12433,2852600.0
12434,2891800.0
12322,14031600.0
12436,3223600.0
12437,2990000.0
12438,2840000.0
12440,3180000.0
12441,3071900.0
12439,2948800.0
12442,3158400.0
12443,3000800.0
12446,2945400.0
12447,2988000.0
12457,164800.0
12448,2862200.0
12450,3137000.0
12451,3225200.0
12452,3043000.0
12453,3033000.0
12210,7053080000.0
12468,101000.0
12459,3015200.0
12460,3247200.0
12461,3105600.0
12462,2939400.0
12463,3168400.0
12464,2885600.0
12385,11239000.0
12470,589500.0
12469,3276600.0
12471,2970000.0
12472,3247400.0
12473,2890000.0
12474,3125800.0
12475,3014400.0
12476,2838000.0
12478,3258000.0
12495,3213400.0
12481,1622000.0
12496,2912800.0
12497,3132800.0
12485,1680900.0
12489,1600000.0
12498,3037100.0
12499,2823200.0
12409,10938300.0
12501,3249000.0
12503,3163200.0
12505,3202000.0
12314,84851400.0
12507,3166000.0
12509,2814000.0
12508,3004000.0
12424,9596200.0
12510,3032600.0
12431,9350200.0
12511,3154800.0
12513,2902600.0
12517,3143000.0
12518,3198000.0
12520,3150000.0
12514,1859600.0
12526,876000.0
12528,905000.0
12530,865800.0
12527,863000.0
12522,2840800.0
12521,2974600.0
12532,2936800.0
12535,3197200.0
12536,3176400.0
12538,3056100.0
12540,3125200.0
11946,57024000.0
11948,58249000.0
11951,55321700.0
12551,2857000.0
12556,3209000.0
12558,2920000.0
12560,2968600.0
12562,3154600.0
12564,3201400.0
12565,3037000.0
12553,1928000.0
12573,3189800.0
12575,3160000.0
12577,3070600.0
12590,94500.0
12586,113500.0
12584,161290.0
12578,3195200.0
12546,4060000.0
12580,3133000.0
12581,3344800.0
12594,3246000.0
12593,2960000.0
12595,2930520.0
12596,3111000.0
12597,2914000.0
12599,3217400.0
12547,5572300.0
12600,3353600.0
12601,3190800.0
12544,5739000.0
12344,103612000.0
12088,52572000.0
12604,3150800.0
12605,2919340.0
12606,3111000.0
12607,2920000.0
12347,99310600.0
12608,3217000.0
12610,2948200.0
12613,3328800.0
12615,2917400.0
12617,3033200.0
12619,3120800.0
12621,3250600.0
12622,3167840.0
12623,3094000.0
12624,2968000.0
12625,2867200.0
12626,2912600.0
12628,3359000.0
12629,3056000.0
12633,3120000.0
12636,3174800.0
12637,2892000.0
12638,2846600.0
12642,3096300.0
12641,2965600.0
12643,3018800.0
12655,3176000.0
12656,2881400.0
12658,2884000.0
12661,3042600.0
12640,2186700.0
12663,3014800.0
12664,3077300.0
12665,3031200.0
12554,10969600.0
12668,2822000.0
12680,55700.0
12670,3062600.0
12682,49500.0
12645,3074300.0
12671,2886000.0
12649,2730000.0
12652,2873200.0
12672,2976600.0
12674,2996000.0
12675,3056200.0
12678,3156000.0
12679,3028000.0
12673,1641500.0
12684,1224000.0
12688,3300800.0
12689,2982000.0
12690,2910280.0
12691,2898000.0
12692,3050600.0
12706,48500.0
12705,59000.0
12709,62000.0
12711,55000.0
12695,3113000.0
12713,61700.0
12696,2849800.0
12717,51000.0
12715,117000.0
12699,3120600.0
12724,81400.0
12734,64500.0
12733,79700.0
12745,76600.0
12731,84000.0
12742,86100.0
12738,91700.0
12747,92000.0
12741,98300.0
12729,109000.0
12748,89000.0
12754,92200.0
12701,3336200.0
12761,48000.0
12763,44600.0
12703,2989000.0
12702,2927820.0
12766,59400.0
12765,56400.0
12770,58600.0
12704,2956600.0
12686,3427500.0
12721,3140000.0
12722,3114000.0
12723,2870600.0
12543,15185400.0
12614,39254800.0
12772,2968000.0
12773,2950000.0
12774,3339000.0
12775,2822800.0
12777,1089000.0
12810,56400.0
12787,68000.0
12790,70000.0
12788,69600.0
12806,68700.0
12801,72700.0
12795,75700.0
12794,82000.0
12800,78400.0
12779,2953200.0
12782,2814000.0
12783,3236000.0
12784,3159000.0
12785,2880800.0
12812,3320600.0
12813,3229000.0
12815,3756000.0
12814,3543400.0
12818,2944000.0
12822,3149800.0
12824,3133200.0
12659,8525800.0
12823,3799200.0
12827,3035400.0
12828,2767200.0
12829,2930000.0
12830,3327400.0
12542,18719000.0
12217,56134000.0
12834,3152000.0
12837,3173200.0
12838,2829400.0
12840,2808600.0
12819,2895600.0
12841,2979000.0
12843,2952800.0
12844,3345000.0
12847,3224600.0
12849,2847400.0
12852,2984400.0
12853,2965600.0
12855,3322000.0
12857,2789200.0
12859,3207200.0
12860,2998900.0
12863,3001200.0
12865,2929600.0
12866,3321200.0
12868,2821400.0
12870,3188000.0
12872,2939700.0
12874,3039500.0
12876,2942000.0
12878,3323400.0
12836,5918300.0
12880,2797600.0
12883,3171400.0
12884,2972000.0
12886,2918400.0
12887,3320000.0
12889,3032000.0
12891,2775000.0
12895,2965500.0
12894,3245400.0
12900,3038500.0
12901,2912200.0
12902,2768600.0
12903,3316000.0
12907,2796000.0
12906,3211000.0
12910,3120000.0
12911,3017700.0
12912,2842000.0
12913,2772000.0
12914,2931400.0
12915,3315600.0
12916,2774000.0
12918,3177600.0
12919,3179600.0
12922,2824200.0
12923,2826800.0
12924,2914000.0
12618,85569200.0
12925,3322800.0
12926,3005400.0
12931,3195000.0
12934,2807000.0
12935,3130800.0
12936,2841200.0
12938,2964400.0
12939,2995600.0
12941,2930600.0
12944,3158000.0
12943,3323800.0
12948,2817400.0
12616,23747000.0
12949,3017100.0
12951,2972900.0
12952,2945000.0
12953,3173400.0
12959,3335200.0
12960,3187400.0
12961,2797200.0
12962,2860000.0
12964,2900000.0
12965,2996600.0
12967,3152600.0
12970,3348800.0
12972,2959200.0
12971,3249000.0
12973,3010900.0
12975,2997200.0
12978,2826000.0
12980,3647200.0
12981,3325700.0
12983,3459200.0
12986,2834000.0
12985,3238000.0
12984,3248000.0
12550,7894890000.0
12987,3535400.0
12999,43950.0
12993,130469000.0
12989,3256000.0
13004,41720.0
13006,61000.0
12720,22138000.0
12728,22722000.0
12764,20693000.0
12759,23044600.0
12740,20951700.0
12756,21817700.0
12771,21800700.0
12990,3172800.0
12992,3030900.0
12991,2963600.0
12996,3338000.0
12997,2839600.0
12998,2848000.0
13016,3206000.0
13013,1099070.0
13017,3013100.0
13020,3009500.0
13032,68700.0
13039,63500.0
13040,74700.0
13033,79300.0
13029,83140.0
13038,75000.0
13045,57400.0
13054,55800.0
13044,78800.0
13050,80600.0
13053,82000.0
13048,83600.0
13022,3150800.0
13023,2950000.0
13056,73580.0
13024,3319800.0
13026,2789400.0
13027,2831400.0
13028,3162200.0
13057,2935800.0
13058,3316800.0
13059,3046400.0
13060,2905540.0
13062,3026000.0
13065,2794000.0
13078,2915600.0
13080,3161400.0
13079,3052800.0
13081,2945400.0
13070,1845400.0
13082,2846000.0
13073,1908000.0
13076,1856500.0
13086,3008000.0
13088,2948600.0
13090,3037100.0
13091,3182600.0
13093,2880600.0
13094,3156000.0
13098,3139200.0
13097,2888200.0
13099,2894000.0
13102,3040600.0
12955,11119000.0
13103,3198000.0
12414,54476000.0
13104,2905600.0
13105,3158000.0
13106,2877400.0
13107,2925000.0
13108,3287400.0
13109,2906460.0
13110,2808600.0
13112,3022900.0
13115,3169400.0
13116,2934800.0
13117,3304400.0
13118,2869480.0
13119,2880000.0
13120,3150000.0
13121,2908200.0
13131,100000.0
13132,241700.0
13124,3196000.0
13125,2899500.0
13126,2880800.0
13127,3143600.0
13128,2886000.0
13129,2915200.0
13130,3299200.0
13134,1464900.0
13135,2905400.0
13136,3179600.0
13137,2913400.0
13138,3187800.0
13139,2868200.0
13140,2939200.0
13141,3336000.0
13143,2887160.0
13144,2902400.0
13145,3180600.0
13146,3157400.0
13147,2879400.0
13148,3186000.0
13149,2858000.0
13150,2932800.0
13151,3322800.0
13156,6124440.0
13152,2865200.0
13153,3181200.0
13155,2899600.0
13157,3132000.0
13158,2892000.0
13160,3218000.0
13162,2926000.0
13163,3319800.0
13164,2886800.0
13169,5490890.0
13166,3204000.0
13167,2875900.0
13168,2916700.0
13172,1031500.0
13182,4248220.0
13170,3220600.0
13171,2828400.0
13174,2871200.0
13173,3175400.0
13175,2921000.0
13176,3314600.0
13188,3989110.0
13181,2912020.0
13183,3161000.0
13194,15571800.0
13185,2895500.0
13201,196420.0
13202,75600.0
13189,3175000.0
13190,2901200.0
13191,2929600.0
13207,8226200.0
13205,318500.0
13193,3176000.0
13192,3324800.0
13211,79800.0
13208,480300.0
13203,2899500.0
13204,2872900.0
13206,3135000.0
13210,63221000.0
13217,1161200.0
13209,3168800.0
13212,2893800.0
13214,2939000.0
13215,3315000.0
13216,3218000.0
13218,2890600.0
13222,1017400.0
13227,338500.0
13220,2884000.0
13221,3118600.0
13232,190160.0
13223,2951400.0
13224,3276000.0
13229,3173200.0
13230,2870000.0
13236,3124800.0
13234,2905440.0
13237,3112800.0
13233,1089500.0
13239,3214000.0
13240,2847400.0
13242,2947000.0
13243,3286000.0
13246,910400.0
13235,2716400.0
13244,2907900.0
12568,55285300.0
12569,54026700.0
13179,6191300.0
13245,2880040.0
13247,3114000.0
13249,3181600.0
13250,2873000.0
13251,2917500.0
13258,2925000.0
13180,7875300.0
13260,3062000.0
13263,2967600.0
13265,2848800.0
13267,1204410.0
13268,1212600.0
13275,3150600.0
13276,2822600.0
13278,2932000.0
13281,3143780.0
13282,3136000.0
13283,2938800.0
13284,2893500.0
13285,3168600.0
13274,3114700.0
13287,2889000.0
13288,2894000.0
13271,3460600.0
13290,2835200.0
13291,3110840.0
13292,2906800.0
13293,2900600.0
13294,2923400.0
13296,2996600.0
13298,3151000.0
13299,2876000.0
13300,2869400.0
13303,2882300.0
13304,3178640.0
13305,2891200.0
13306,2965400.0
13309,3003000.0
13310,3153800.0
13311,2883400.0
13312,2820600.0
13313,2933000.0
13314,3136540.0
13316,2902000.0
13317,3057800.0
13318,3151200.0
13319,2866000.0
13320,2912000.0
13322,2853200.0
13323,3147840.0
13325,2877900.0
13326,3167000.0
13327,2888000.0
13328,2908600.0
13330,2893200.0
13331,3003500.0
13336,705690.0
13339,3142600.0
13340,2767800.0
13341,2843600.0
13342,2918000.0
13343,3029500.0
13345,2747400.0
13346,3139000.0
13347,2876000.0
13348,2927200.0
13349,2771000.0
13350,3128800.0
13352,2808600.0
13354,2744400.0
13355,3166000.0
13357,2899200.0
13359,3164000.0
13360,2921400.0
13363,2773200.0
13364,3154600.0
13365,2737200.0
13366,3158000.0
13368,3119000.0
13369,2951200.0
13371,3117800.0
13372,2929200.0
13114,27270000.0
13389,61600.0
13373,2778800.0
13374,3157000.0
13379,3139000.0
13381,3172800.0
13380,2883200.0
13384,3138000.0
13388,2932600.0
13390,2915400.0
13113,29379100.0
13394,1066000.0
13395,2782800.0
13404,57000.0
13410,56400.0
13405,83300.0
13408,82900.0
13411,88500.0
13396,3130000.0
13397,3172600.0
13399,3139400.0
13400,2913200.0
12845,56167900.0
13417,3173200.0
13225,1777930000.0
13418,3166000.0
13420,2898800.0
13423,3099600.0
13424,3162060.0
13425,3136800.0
13427,3134400.0
13428,2940000.0
13430,3139520.0
13431,3120200.0
13376,5936400.0
13432,2944800.0
13435,3135600.0
13436,3154280.0
13437,3130600.0
13438,2780000.0
13439,2912800.0
13122,7892230000.0
13441,2958500.0
13443,3160260.0
13444,2914800.0
13445,2788200.0
13446,2844000.0
13447,2910200.0
13450,3140160.0
13451,2904000.0
13452,3166000.0
13453,2864000.0
13454,2842800.0
13455,2932000.0
13457,3118200.0
13458,2858000.0
13460,3145400.0
13461,2917400.0
13463,2885600.0
13464,2848000.0
13465,3196800.0
13254,26040500.0
13467,2912000.0
13468,3130860.0
13470,2839600.0
13469,2952800.0
13256,26842900.0
13472,2864800.0
13257,26410000.0
13473,3204600.0
13476,2926000.0
13477,2893800.0
13478,2824800.0
13480,2961000.0
13485,3192800.0
13489,2837200.0
13488,1684000.0
13493,2944800.0
13494,3204000.0
13496,2840600.0
13259,32796100.0
13497,3187600.0
13498,2974000.0
13500,3186800.0
13501,991500.0
13502,3195400.0
13508,112600.0
13503,2931000.0
13510,201700.0
13506,3195200.0
13514,44600.0
13517,90100.0
13509,3183600.0
13401,17103500.0
13419,15687000.0
13487,5855200.0
13518,552000.0
13512,2902000.0
13523,50000.0
13516,3179400.0
13524,282000.0
13520,1366500.0
13532,54000.0
13525,2958600.0
13533,196000.0
13526,3194600.0
13527,4181600.0
13448,3010510000.0
13529,683000.0
13539,586600.0
13543,69500.0
13546,476667.0
13538,2967500.0
13540,2888000.0
13534,1646300.0
13550,2964000.0
13555,3295400.0
13548,10650500.0
13537,4024900.0
13564,3013800.0
13573,2936600.0
13578,3022000.0
13587,47300.0
13586,489700.0
13595,801700.0
13600,8452000.0
13598,1095300.0
13601,8122000.0
13603,3200600.0
13611,40000.0
13604,1096200.0
13481,18113200.0
13482,18021200.0
13620,68700.0
13617,2918400.0
13619,1088500.0
13621,2887400.0
13622,3114800.0
13624,1091500.0
13626,3008500.0
13629,64000.0
13580,42829000.0
13630,242000.0
13634,117600.0
13627,1167000.0
13646,163300.0
13631,3137340.0
13649,109470.0
13650,168240.0
13655,155400.0
13637,1388300.0
13642,1139000.0
13660,157100.0
13662,101500.0
13657,404680.0
13654,3270000.0
13632,2528460.0
13582,52541100.0
13667,482590.0
13664,1142500.0
13672,42400.0
13670,304100.0
13673,41860.0
13675,55600.0
13668,3226800.0
13685,78900.0
13669,1122300.0
13686,426300.0
13688,427000.0
13679,1729280.0
13681,1674000.0
13253,52060400.0
13692,1362300.0
13696,45180.0
13361,65551000.0
13682,3973400.0
13691,3370500.0
13708,49100.0
13712,3504700.0
13700,42899100.0
13593,76402000.0
13594,68292600.0
13758,48600.0
13760,47300.0
13515,179200.0
13762,223700.0
13763,262240.0
13809,195600.0
13811,155800.0
13770,290600.0
13810,177500.0
13779,274500.0
13799,177000.0
13802,221400.0
13805,231200.0
13800,252000.0
13808,279000.0
13769,474100.0
13796,440500.0
13781,542700.0
13785,558600.0
13771,636300.0
13786,633070.0
13820,106000.0
13822,101900.0
13821,97000.0
13801,711100.0
13752,45854100.0
13795,824300.0
13789,1017300.0
13790,1165800.0
13829,50700.0
13833,54690.0
13759,12160800.0
13834,200420.0
